Date,Well ID,Test Time,Mud Type,Depth (ft),Density (ppg),Funnel Viscosity (sec),PV (cP),YP (lb/100ft²),Gel 10s (lb/100ft²),Gel 10m (lb/100ft²),Filtrate (mL/30min),Cake Thickness (32nd in),pH,Chlorides (mg/L),Total Hardness (mg/L),MBT (lb/bbl),Sand Content (%),Oil Content (%),Solids Content (%),LGS (%),HGS (%),Temperature (°F),Electrical Stability (volts),Comments
2024-04-01,PERM-W023,06:00,WBM,8250,10.2,52,18,22,6,12,7.5,2,9.2,2000,120,15.5,0.4,N/A,12.1,10.5,1.6,120,N/A,"Mud properties within specifications"
2024-04-01,PERM-W023,18:00,WBM,8456,10.2,54,19,23,7,14,7.8,2,9.1,2100,125,16.0,0.5,N/A,12.3,10.7,1.6,121,N/A,"Minor increase in viscosity, added thinner"
2024-04-02,PERM-W023,06:00,WBM,8820,10.4,56,21,25,8,16,8.0,2,9.0,2150,130,16.5,0.6,N/A,12.8,11.0,1.8,122,N/A,"Increased mud weight due to pressure trend"
2024-04-02,PERM-W023,18:00,WBM,9245,10.4,58,22,26,8,17,8.2,2,8.9,2200,135,17.0,0.7,N/A,13.0,11.2,1.8,123,N/A,"Increased viscosity, treating with thinner"
2024-04-03,PERM-W023,06:00,WBM,9480,10.5,60,24,28,9,18,8.5,2,8.8,2250,140,17.5,0.8,N/A,13.5,11.5,2.0,125,N/A,"Treating for increased solids"
2024-04-03,PERM-W023,18:00,WBM,9780,10.5,62,25,30,10,20,8.8,3,8.7,2300,145,18.0,0.9,N/A,14.0,11.8,2.2,126,N/A,"Partial losses observed, added LCM"
2024-04-04,PERM-W023,06:00,WBM,10050,10.8,64,26,32,11,22,9.0,3,8.6,2350,150,18.5,1.0,N/A,14.5,12.0,2.5,128,N/A,"Increased mud weight for pressure control"
2024-04-04,PERM-W023,18:00,WBM,10250,10.8,66,28,34,12,24,9.3,3,8.5,2400,155,19.0,1.1,N/A,15.0,12.3,2.7,130,N/A,"Filtration properties degrading, added PAC"
2024-04-05,PERM-W023,06:00,WBM,10560,11.0,68,30,36,13,26,9.5,3,8.4,2450,160,19.5,1.2,N/A,15.5,12.5,3.0,132,N/A,"Increased mud weight, treating high solids"
2024-04-05,PERM-W023,18:00,WBM,10865,11.0,70,32,38,14,28,9.8,4,8.3,2500,165,20.0,1.3,N/A,16.0,12.8,3.2,134,N/A,"Minor losses at 10750', added LCM pills"
2024-04-06,PERM-W023,06:00,WBM,11120,11.2,72,34,40,15,30,10.0,4,8.2,2550,170,20.5,1.4,N/A,16.5,13.0,3.5,136,N/A,"Increased mud weight, high-pressure zone"
2024-04-06,PERM-W023,18:00,WBM,11352,11.2,74,36,42,16,32,10.3,4,8.1,2600,175,21.0,1.5,N/A,17.0,13.2,3.8,138,N/A,"Filtration increasing, added fluid loss control"
2024-04-07,PERM-W023,06:00,WBM,11780,11.4,76,38,44,17,34,10.5,5,8.0,2650,180,21.5,1.6,N/A,17.5,13.5,4.0,140,N/A,"Higher solids, dilution recommended"
2024-04-07,PERM-W023,18:00,WBM,12025,11.4,78,40,46,18,36,10.8,5,7.9,2700,185,22.0,1.7,N/A,18.0,13.8,4.2,142,N/A,"Diluted system, properties improving"
2024-04-08,PERM-W023,06:00,WBM,12320,11.5,80,42,48,19,38,11.0,5,7.8,2750,190,22.5,1.8,N/A,18.5,14.0,4.5,144,N/A,"Final mud weight established for TD"
2024-04-08,PERM-W023,18:00,WBM,12550,11.5,82,44,50,20,40,11.2,6,7.7,2800,195,23.0,1.9,N/A,19.0,14.2,4.8,146,N/A,"TD reached, circulating and conditioning"
2024-04-09,PERM-W023,06:00,WBM,12550,11.5,78,42,48,19,38,11.0,5,7.8,2750,190,22.5,1.8,N/A,18.5,14.0,4.5,144,N/A,"Preparing for casing run"
2024-04-09,PERM-W023,18:00,WBM,12550,11.5,76,40,46,18,36,10.8,5,7.9,2700,185,22.0,1.7,N/A,18.0,13.8,4.2,142,N/A,"Casing run in progress"
2024-04-10,PERM-W023,06:00,WBM,12550,11.5,74,38,44,17,34,10.5,5,8.0,2650,180,21.5,1.6,N/A,17.5,13.5,4.0,140,N/A,"Cement job completed"
2024-04-10,PERM-W023,18:00,WBM,12550,11.5,72,36,42,16,32,10.3,4,8.1,2600,175,21.0,1.5,N/A,17.0,13.2,3.8,138,N/A,"WOC, preparing displacement fluid" 
